中双港35kv,,堡北,,陈家镇35kv,,红星站,,南门站,,新海站,,长江站,,竖河站,,汲浜站,,海门,,长兴,,电动车站,
45.178,-0.3688,22.128,11.064,26.0004,4.4256,20.0074,1.383,61.2208,12.7236,12.5392,2.47096,17.057,3.5036,54.6746,14.1066,24.3408,5.993,433.34,0,0,0,0.915455982,1.645290564
45.717,-0.3732,22.392,11.196,26.3106,4.4784,20.2461,1.3995,61.9512,12.8754,12.6888,2.50044,17.2605,3.5454,55.3269,14.2749,24.6312,6.0645,438.51,0,0,0,1.002921262,1.524500786
46.256,-0.3776,22.656,11.328,26.6208,4.5312,20.4848,1.416,62.6816,13.0272,12.8384,2.52992,17.464,3.5872,55.9792,14.4432,24.9216,6.136,443.68,0,0,0,1.095999797,1.40905181
46.55,-0.38,22.8,11.4,26.79,4.56,20.615,1.425,63.08,13.11,12.92,2.546,17.575,3.61,56.335,14.535,25.08,6.175,446.5,0,0,0,1.194726159,1.299093876
46.844,-0.3824,22.944,11.472,26.9592,4.5888,20.7452,1.434,63.4784,13.1928,13.0016,2.56208,17.686,3.6328,56.6908,14.6268,25.2384,6.214,449.32,0,0,0,1.299093876,1.194726159
47.138,-0.3848,23.088,11.544,27.1284,4.6176,20.8754,1.443,63.8768,13.2756,13.0832,2.57816,17.797,3.6556,57.0466,14.7186,25.3968,6.253,452.14,0,0,0,1.40905181,1.095999797
47.383,-0.3868,23.208,11.604,27.2694,4.6416,20.9839,1.4505,64.2088,13.3446,13.1512,2.59156,17.8895,3.6746,57.3431,14.7951,25.5288,6.2855,454.49,0,0,0,1.524500786,1.002921262
47.579,-0.3884,23.304,11.652,27.3822,4.6608,21.0707,1.4565,64.4744,13.3998,13.2056,2.60228,17.9635,3.6898,57.5803,14.8563,25.6344,6.3115,456.37,0,0,0,1.645290564,0.915455982
47.775,-0.39,23.4,11.7,27.495,4.68,21.1575,1.4625,64.74,13.455,13.26,2.613,18.0375,3.705,57.8175,14.9175,25.74,6.3375,458.25,0,0,0,1.771217217,0.833532157
47.971,-0.3916,23.496,11.748,27.6078,4.6992,21.2443,1.4685,65.0056,13.5102,13.3144,2.62372,18.1115,3.7202,58.0547,14.9787,25.8456,6.3635,460.13,0,0,0,1.902020996,0.757044686
48.167,-0.3932,23.592,11.796,27.7206,4.7184,21.3311,1.4745,65.2712,13.5654,13.3688,2.63444,18.1855,3.7354,58.2919,15.0399,25.9512,6.3895,462.01,0,0,0,2.037384756,0.685859147
47.824,-0.3904,23.424,11.712,27.5232,4.6848,21.1792,1.464,64.8064,13.4688,13.2736,2.61568,18.056,3.7088,57.8768,14.9328,25.7664,6.344,458.72,0,0,0,2.176932995,0.619815766
47.53,-0.388,23.28,11.64,27.354,4.656,21.049,1.455,64.408,13.386,13.192,2.5996,17.945,3.686,57.521,14.841,25.608,6.305,455.9,0,0,0,2.320231588,0.558733314
47.187,-0.3852,23.112,11.556,27.1566,4.6224,20.8971,1.4445,63.9432,13.2894,13.0968,2.58084,17.8155,3.6594,57.1059,14.7339,25.4232,6.2595,452.61,0,0,0,2.466788256,0.502412895
